AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,CA,CELG,CERN,CMCSA,COST,CSCO,CSX,CTRP,CTSH,DISCA,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FOX,FOXA,GILD,GOOGL,INTC,JD,KHC,LBTYA,LBTYK,LRCX,MAR,MAT,MCHP,MDLZ,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NVDA,NXPI,PAYX,PCAR,PYPL,QCOM,QVCA,ROST,SBUX,SIRI,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,VIAB,VOD,VRTX,WBA,WDC,WFM,XLNX,YHOO,NDX
35.98,96.8,97.8,61.15,95.4,58.18,58.0,127.04,26.68,165.81,742.12,42.3,161.41,44.21,159.89,286.32,34.57,106.05,62.07,67.34,167.6,30.79,28.37,43.52,58.4,25.42,52.44,96.55,76.95,30.6,76.54,117.88,41.99,121.94,27.5,26.86,84.0,756.57,34.77,21.8,88.54,31.1,30.21,91.24,71.11,32.78,54.78,45.69,56.515,14.0,39.2,47.13,41.9,91.0,26.44,56.1984,85.23,60.74,56.17,37.77,60.95,26.74,61.13,58.57899999999999,4.28,31.35,65.36,20.37,44.95,70.05,91.41,227.65,70.73,45.23,31.1701,95.27,81.36499999999998,52.16,33.95,48.61,38.01,4665.054
36.16,97.46,98.02,62.06,95.85,58.53,58.415,126.53,26.71,166.83,738.97,42.1,162.82,44.17,162.35,287.97,34.61,107.17,61.9259,67.335,168.4,31.025,28.41,43.95,58.68,25.485,52.64,97.415,77.04,31.18,77.29,118.4,42.05,121.765,27.54,26.95,82.37,756.6699999999997,34.935,22.09,88.5216,31.23,30.42,90.76,71.3,32.99,55.38,45.58,56.825,14.24,39.31,47.49,41.99,92.26,26.53,56.56,86.47,61.13,57.22,38.135,61.24,26.71,61.44,58.5,4.295,31.52,65.25,20.36,44.87,70.4901,91.83,228.599,70.56,45.19,31.26,95.025,81.53,52.87,34.21,48.99,38.59,4676.43
35.97,97.68,98.34,62.18,95.76,58.76,58.28,126.83,26.66,167.65,740.38,42.145,163.0,44.4,162.75,288.88,34.645,107.84,62.1,67.285,168.64,31.075,28.46,43.93,58.72,25.49,52.575,97.18,76.87,31.155,77.89,118.6,42.13,121.639,27.51,26.92,81.9299,758.215,35.035,22.33,88.57,31.29,30.53,90.615,71.53,32.865,55.63,45.56,57.13,14.36,39.275,47.375,42.06,92.3684,26.585,56.655,86.47,61.075,57.005,38.13,61.32,26.835,61.575,58.82,4.3003,31.66,65.01000000000002,20.39,44.97,70.92,91.59,226.46,70.42,45.32,31.19,95.3325,81.93,52.985,34.21,49.075,38.635,4684.108
35.77,97.62,98.14,62.01,95.78,58.66,58.06,126.405,26.61,167.735,738.62,41.76,162.1,44.49,163.36,288.22,34.6,107.145,62.01,67.33,168.47,31.095,28.41,43.86,58.775,25.66,52.57,97.15,76.59,31.155,77.942,118.14,42.095,121.65,27.49,26.875,81.4178,758.7710000000003,34.97,22.3089,88.68999999999998,31.27,30.52,90.52,71.40000000000002,32.81,55.51,45.659,57.24,14.3057,39.16,47.265,41.99,91.6489,26.52,56.55,86.45,61.065,56.82,37.99,61.28,26.87,61.68,58.62,4.315,31.885,64.6,20.345,44.94,70.75,91.56,226.15,70.44,45.29,31.1,95.01,82.29999999999998,53.09,34.32,48.93,38.59,4681.443
36.17,97.79,97.925,62.125,95.7,58.86,58.4,126.88,26.64,167.55,737.9749,41.59,162.69999999999996,44.65,162.91,289.41,34.59,107.17,62.15,67.13,168.68,31.11,28.505,43.85,58.87,25.73,52.73,97.0001,76.51999999999998,31.155,77.95,118.37,42.12,121.64,27.53,26.9,81.7,758.88,35.02,22.3,88.45,31.4,30.61,90.77,71.395,32.845,55.72,45.61,57.07,14.29,39.17,47.46,42.0,91.75,26.6,56.75,86.42,61.06,56.56,38.17,61.275,26.945,61.6949,58.72,4.305,31.945,64.8911,20.42,44.94,70.66,91.63,225.92,70.61,45.33,31.075,95.4,82.03,53.47,34.535,49.02,38.63,4682.076
36.17,97.63,97.765,62.02,95.68,58.74,58.16,126.2,26.635,167.08,738.11,41.4301,162.3013,44.59,163.01,288.78,34.555,106.79,62.18,67.185,168.465,31.05,28.49,43.86,58.7455,25.71,52.54,96.98,76.53,31.14,77.61,117.94,42.1,121.62,27.46,26.85,81.9299,758.45,34.97,22.37,88.23999999999998,31.28,30.51,90.71,71.41,32.8,55.785,45.63,56.99,14.335,39.19,47.19,42.01,92.33,26.585,56.89,86.36,61.05,56.89,38.16,61.25,26.95,61.7,58.69,4.3,31.9,64.96,20.44,44.94,70.54,91.58,226.18,70.625,45.06,31.04,94.8,81.79999999999998,53.5,34.47,49.0,38.55,4677.797000000001
35.97,96.92,97.16,61.72,95.24,58.18,57.78,125.6,26.48,166.91,735.85,41.24,160.9,44.07,162.18,287.915,34.38,106.44,61.91,66.69,167.47999999999996,30.81,28.37,43.85,58.415,25.38,52.23,96.4501,76.33,30.915,77.53,117.33,41.85,120.8499,27.21,26.605,81.63899999999998,754.76,34.73,22.15,87.84,30.965,30.22,90.73,71.005,32.65,55.51,45.32,56.65,14.27,38.98,46.92,41.8,91.751,26.41,56.52,85.93999999999998,60.79,56.53,38.01,60.87,26.83,61.46,58.295,4.2599,31.73,64.39,20.29,44.64,69.90000000000002,90.89,225.606,70.095,44.56,30.9,94.39,81.57,53.06,34.295,48.81,38.37,4652.373
35.98,96.98,97.13,61.73,95.26,58.26,57.95,125.72,26.505,166.76,735.98,41.275,160.72,44.04,162.97,287.83,34.475,106.459,61.91,66.85,167.26,30.795,28.45,44.0,58.48,25.5,52.37,96.29,76.33,31.015,77.59999999999998,117.2,41.9432,121.22,27.27,26.655,81.31499999999998,753.13,34.85,22.2,87.51999999999998,31.17,30.43,90.83,70.985,32.74,55.54,45.205,56.7258,14.3,39.0,46.96,41.86,92.2449,26.43,56.32,85.65999999999998,60.74,56.67,38.065,60.9589,26.885,61.43,58.26,4.28,31.86,64.31,20.28,44.595,70.11,90.8,227.08900000000003,70.16,44.67,30.96,94.42,81.265,53.17,34.13,48.63,38.5,4652.574000000001
35.935,97.055,97.18,61.72,95.286,58.51,57.92,126.91,26.5,167.49,736.83,41.355,160.62,44.27,163.1,289.25,34.52,106.92,62.08,67.07,167.19999999999996,30.855,28.46,44.005,58.545,25.58,52.46,96.44,76.45,31.0,77.62999999999998,117.35,41.96,121.28,27.29,26.695,81.47,754.395,34.925,22.265,87.71,31.26,30.5,90.98,71.18,32.73,55.64,45.095,56.75,14.31,38.885,46.94,41.88,92.02,26.475,56.42,85.76,60.77,56.43,38.131,60.85,26.925,61.55,58.39,4.285,31.975,64.25,20.29,44.75,70.05,90.77,227.9351,70.1,44.86,31.06,94.79,81.48999999999998,53.44,34.26,48.53,38.48,4659.085
35.9703,97.005,97.14,61.59,95.31,58.445,58.02,127.22,26.505,167.5,736.4899,41.43,160.52,44.31,162.99,289.04,34.51,106.79,62.31,66.99,167.07,30.85,28.501,43.97,58.55,25.59,52.5,96.29,76.67,30.98,77.87,117.39,41.985,121.19,27.28,26.67,81.42,753.225,34.92,22.3,87.5957,31.23,30.515,90.84,71.25,32.71,55.62,45.1401,56.7899,14.31,38.82,47.01,41.88,91.68,26.5,56.15,85.62,60.74,56.88,38.115,60.95,26.92,61.64,58.34,4.32,32.055,64.2299,20.27,44.87,70.13,90.61,227.86,70.05,44.835,30.9642,95.0,81.45,53.38,34.205,48.55,38.495,4659.103
