AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,CA,CELG,CERN,CMCSA,COST,CSCO,CSX,CTRP,CTSH,DISCA,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FOX,FOXA,GILD,GOOGL,INTC,JD,KHC,LBTYA,LBTYK,LRCX,MAR,MAT,MCHP,MDLZ,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NVDA,NXPI,PAYX,PCAR,PYPL,QCOM,QVCA,ROST,SBUX,SIRI,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,VIAB,VOD,VRTX,WBA,WDC,WFM,XLNX,YHOO,NDX
35.98,96.8,97.8,61.15,95.4,58.18,58.0,127.04,26.68,165.81,742.12,42.3,161.41,44.21,159.89,286.32,34.57,106.05,62.07,67.34,167.6,30.79,28.37,43.52,58.4,25.42,52.44,96.55,76.95,30.6,76.54,117.88,41.99,121.94,27.5,26.86,84.0,756.57,34.77,21.8,88.54,31.1,30.21,91.24,71.11,32.78,54.78,45.69,56.515,14.0,39.2,47.13,41.9,91.0,26.44,56.1984,85.23,60.74,56.17,37.77,60.95,26.74,61.13,58.57899999999999,4.28,31.35,65.36,20.37,44.95,70.05,91.41,227.65,70.73,45.23,31.1701,95.27,81.36499999999998,52.16,33.95,48.61,38.01,4665.054
35.97,97.68,98.34,62.18,95.76,58.76,58.28,126.83,26.66,167.65,740.38,42.145,163.0,44.4,162.75,288.88,34.645,107.84,62.1,67.285,168.64,31.075,28.46,43.93,58.72,25.49,52.575,97.18,76.87,31.155,77.89,118.6,42.13,121.639,27.51,26.92,81.9299,758.215,35.035,22.33,88.57,31.29,30.53,90.615,71.53,32.865,55.63,45.56,57.13,14.36,39.275,47.375,42.06,92.3684,26.585,56.655,86.47,61.075,57.005,38.13,61.32,26.835,61.575,58.82,4.3003,31.66,65.01000000000002,20.39,44.97,70.92,91.59,226.46,70.42,45.32,31.19,95.3325,81.93,52.985,34.21,49.075,38.635,4684.108
36.17,97.79,97.925,62.125,95.7,58.86,58.4,126.88,26.64,167.55,737.9749,41.59,162.69999999999996,44.65,162.91,289.41,34.59,107.17,62.15,67.13,168.68,31.11,28.505,43.85,58.87,25.73,52.73,97.0001,76.51999999999998,31.155,77.95,118.37,42.12,121.64,27.53,26.9,81.7,758.88,35.02,22.3,88.45,31.4,30.61,90.77,71.395,32.845,55.72,45.61,57.07,14.29,39.17,47.46,42.0,91.75,26.6,56.75,86.42,61.06,56.56,38.17,61.275,26.945,61.6949,58.72,4.305,31.945,64.8911,20.42,44.94,70.66,91.63,225.92,70.61,45.33,31.075,95.4,82.03,53.47,34.535,49.02,38.63,4682.076
35.97,96.92,97.16,61.72,95.24,58.18,57.78,125.6,26.48,166.91,735.85,41.24,160.9,44.07,162.18,287.915,34.38,106.44,61.91,66.69,167.47999999999996,30.81,28.37,43.85,58.415,25.38,52.23,96.4501,76.33,30.915,77.53,117.33,41.85,120.8499,27.21,26.605,81.63899999999998,754.76,34.73,22.15,87.84,30.965,30.22,90.73,71.005,32.65,55.51,45.32,56.65,14.27,38.98,46.92,41.8,91.751,26.41,56.52,85.93999999999998,60.79,56.53,38.01,60.87,26.83,61.46,58.295,4.2599,31.73,64.39,20.29,44.64,69.90000000000002,90.89,225.606,70.095,44.56,30.9,94.39,81.57,53.06,34.295,48.81,38.37,4652.373
35.935,97.055,97.18,61.72,95.286,58.51,57.92,126.91,26.5,167.49,736.83,41.355,160.62,44.27,163.1,289.25,34.52,106.92,62.08,67.07,167.19999999999996,30.855,28.46,44.005,58.545,25.58,52.46,96.44,76.45,31.0,77.62999999999998,117.35,41.96,121.28,27.29,26.695,81.47,754.395,34.925,22.265,87.71,31.26,30.5,90.98,71.18,32.73,55.64,45.095,56.75,14.31,38.885,46.94,41.88,92.02,26.475,56.42,85.76,60.77,56.43,38.131,60.85,26.925,61.55,58.39,4.285,31.975,64.25,20.29,44.75,70.05,90.77,227.9351,70.1,44.86,31.06,94.79,81.48999999999998,53.44,34.26,48.53,38.48,4659.085
36.08,97.21,97.39,61.76,95.46,58.67,58.09,127.54,26.54,167.82,736.5499999999997,41.52,160.56,44.45,163.07,289.775,34.575,107.06,62.32,67.07,167.4,30.92,28.56,44.0,58.635,25.63,52.63,96.495,76.7,30.97,77.98999999999998,117.44,42.12,121.1466,27.32,26.7,81.45,754.62,34.97,22.49,87.72,31.28,30.55,90.97,71.39,32.75,55.77,45.26,56.8371,14.36,39.005,47.06,41.92,91.65,26.52,56.325,86.15999999999998,60.85,57.24,38.175,61.05,27.005,61.77,58.41,4.34,32.13,64.36,20.28,44.68,70.32,90.57,228.4,70.23,45.02,31.01,95.215,81.6641,53.48,34.29,48.58,38.58,4665.536
36.1,97.245,97.75,61.88,95.59,58.81,58.025,126.55,26.54,167.33,735.7999999999997,41.64,161.22999999999996,44.4,163.29,288.905,34.555,106.71,62.13,67.185,167.72,30.909,28.6601,44.01,58.64,25.67,52.58,96.75,76.92499999999998,31.1,78.07,117.51,42.1,121.24,27.31,26.645,81.08,755.33,34.985,22.5,87.757,31.4089,30.66,91.01,71.39,32.76,55.83,45.45,57.02,14.32,39.13,47.0,41.89100000000001,91.6839,26.53,56.47,86.15999999999998,60.93,57.97,38.1,61.08,27.04,61.81,58.46,4.385,32.155,64.68,20.31,44.84,70.08,90.94,227.7,70.78,45.12,31.0348,94.92,81.75,53.48,34.41,48.68,38.61,4669.261
36.0,97.31,97.86000000000004,61.9,95.577,58.85,58.01,126.57,26.58,167.08,735.32,41.69,161.94,44.33,163.76,287.95,34.575,106.54,62.0625,67.13500000000002,167.68,30.885,28.67,44.015,58.58,25.675,52.49,96.74100000000004,76.97,31.05,78.04,117.31,42.065,121.12,27.3375,26.685,80.67,755.2747,35.0,22.615,87.59,31.42,30.64,91.29,71.41,32.71,55.87,45.4247,56.975,14.295000000000005,39.125,47.04,41.89,91.5952,26.54,56.42,86.29999999999998,60.875,57.94,38.095,61.1,27.0,61.63,58.45,4.37,32.12,64.98,20.305,44.95,70.09,90.43,227.61,70.96,45.14,31.04,94.71,81.57,53.54,34.3,48.68,38.62,4667.614000000001
36.08,97.055,97.61000000000004,61.68,95.32,58.65,57.9,126.33,26.51,166.93,733.3710000000003,41.47,161.51,44.32,163.62,287.25,34.485,106.17,62.0,67.03,167.47999999999996,30.785,28.62,44.01,58.49,25.665,52.315,96.52,76.65999999999998,31.05,77.905,116.8549,41.92,120.91,27.265,26.63,80.62619999999998,754.98,34.91,22.56,87.26,31.31,30.56,91.11,71.19,32.635,55.845,45.22,56.777,14.325,38.95,46.67,41.89,91.269,26.49,56.14,86.22,60.82,58.16,37.965,61.02,26.94,61.7,58.31,4.36,32.04,64.88,20.26,44.71,69.87,90.31,227.62,70.8707,45.0,30.99,94.22,81.31499999999998,53.22,34.3,48.62,38.64,4657.527
36.21,96.8941,97.73500000000004,61.75,95.51,58.71,57.96,126.31,26.505,166.97,734.395,41.495,161.58,44.33,164.15,286.88,34.55,106.205,62.06,67.115,167.31,30.775,28.695,44.065,58.545,25.65,52.4265,96.52,76.67,31.17,77.98,117.53,41.9201,121.04,27.29,26.66,80.8892,755.23,34.915,22.51,87.22499999999998,31.41,30.62,91.06,71.35,32.7259,55.82,45.09,56.835,14.38,39.0,46.6,41.74,91.36,26.49,56.245,86.385,60.92,58.14,37.865,61.065,26.915,61.85,58.26,4.35,32.135,65.02,20.27,44.78,70.18,90.34,228.41,71.0701,45.06,30.995,94.04,81.17,53.23,34.305,48.7,38.75,4659.446
